Task       Public   Private    Best   Deficit  Type                          
Task 251   326      -          89     237      unknown                       
Task 218   288      -          56     232      unknown                       
Task 134   380      -          158    222      unknown                       
Task 185   365      -          143    222      unknown                       
Task 260   352      -          135    217      unknown                       
Task 245   318      -          106    212      unknown                       
Task 213   302      -          92     210      unknown                       
Task 216   324      -          114    210      unknown                       
Task 242   264      -          54     210      unknown                       
Task 170   405      -          196    209      unknown                       
Task 310   283      -          78     205      unknown                       
Task 283   286      -          82     204      unknown                       
Task 400   271      -          67     204      unknown                       
Task 197   255      -          54     201      unknown                       
Task 355   298      -          98     200      unknown                       
Task 124   295      -          96     199      unknown                       
Task 153   332      -          133    199      unknown                       
Task 338   263      -          64     199      unknown                       
Task 351   265      -          67     198      unknown                       
Task 363   408      -          213    195      unknown                       
Task 377   248      -          55     193      unknown                       
Task 306   263      -          71     192      unknown                       
Task 145   380      -          191    189      unknown                       
Task 169   318      -          129    189      unknown                       
Task 190   295      -          109    186      unknown                       
Task 178   232      -          47     185      unknown                       
Task 198   306      -          122    184      unknown                       
Task 286   290      -          109    181      unknown                       
Task 350   267      -          91     176      unknown                       
Task 168   283      -          111    172      unknown                       
Task 250   289      -          118    171      unknown                       
Task 359   235      -          64     171      unknown                       
Task 369   282      -          113    169      unknown                       
Task 132   260      251        86     165      unknown                       
Task 313   228      -          63     165      unknown                       
Task 187   256      -          92     164      unknown                       
Task 374   273      -          112    161      unknown                       
Task 304   250      -          92     158      unknown                       
Task 362   227      -          69     158      unknown                       
Task 396   337      -          179    158      unknown                       
Task 139   251      265        94     157      unknown                       
Task 265   260      -          104    156      unknown                       
Task 195   260      -          105    155      unknown                       
Task 365   266      -          111    155      unknown                       
Task 125   278      -          126    152      unknown                       
Task 148   292      -          141    151      unknown                       
Task 201   359      -          208    151      unknown                       
Task 356   256      -          105    151      unknown                       
Task 254   234      -          84     150      unknown                       
Task 323   252      -          102    150      unknown                       
Task 222   252      -          103    149      unknown                       
Task 244   212      -          64     148      unknown                       
Task 220   234      -          87     147      unknown                       
Task 317   206      -          59     147      unknown                       
Task 126   200      -          54     146      unknown                       
Task 228   263      -          119    144      unknown                       
Task 122   225      -          82     143      unknown                       
Task 147   226      -          83     143      unknown                       
Task 141   235      -          94     141      unknown                       
Task 183   234      -          93     141      unknown                       
Task 166   201      -          61     140      unknown                       
Task 305   197      -          57     140      unknown                       
Task 333   229      -          89     140      unknown                       
Task 352   224      -          84     140      unknown                       
Task 384   200      -          62     138      unknown                       
Task 368   274      -          138    136      unknown                       
Task 131   260      -          125    135      unknown                       
Task 331   218      -          83     135      unknown                       
Task 381   214      -          79     135      unknown                       
Task 378   277      -          143    134      unknown                       
Task 259   217      -          85     132      unknown                       
Task 278   250      -          118    132      unknown                       
Task 207   212      -          81     131      unknown                       
Task 212   236      -          105    131      unknown                       
Task 354   227      -          96     131      unknown                       
Task 264   346      -          216    130      unknown                       
Task 257   203      -          74     129      unknown                       
Task 128   189      -          61     128      unknown                       
Task 225   260      -          132    128      unknown                       
Task 271   214      -          86     128      unknown                       
Task 273   244      -          116    128      unknown                       
Task 237   192      -          67     125      unknown                       
Task 136   229      -          105    124      unknown                       
Task 238   1178     347        223    124      unknown                       
Task 346   182      -          58     124      unknown                       
Task 281   268      -          145    123      unknown                       
Task 358   220      -          97     123      unknown                       
Task 149   197      -          75     122      unknown                       
Task 161   320      204        82     122      unknown                       
Task 348   216      -          94     122      unknown                       
Task 398   199      -          77     122      unknown                       
Task 399   186      -          64     122      unknown                       
Task 303   183      -          62     121      unknown                       
Task 127   185      -          65     120      unknown                       
Task 156   266      -          146    120      unknown                       
Task 253   249      -          129    120      unknown                       
Task 239   218      -          99     119      unknown                       
Task 388   180      -          61     119      unknown                       
Task 160   223      -          105    118      unknown                       
Task 243   196      -          79     117      unknown                       
Task 344   195      -          78     117      unknown                       
Task 270   231      -          117    114      unknown                       
Task 246   218      -          105    113      unknown                       
Task 382   247      -          134    113      unknown                       
Task 175   184      -          75     109      unknown                       
Task 340   228      -          119    109      unknown                       
Task 163   237      -          131    106      unknown                       
Task 322   154      -          48     106      unknown                       
Task 184   286      205        100    105      unknown                       
Task 189   215      -          111    104      unknown                       
Task 214   166      -          62     104      unknown                       
Task 226   243      -          139    104      unknown                       
Task 341   236      -          132    104      unknown                       
Task 335   210      -          107    103      unknown                       
Task 342   214      -          111    103      unknown                       
Task 221   189      -          87     102      unknown                       
Task 230   214      -          114    100      unknown                       
Task 321   155      -          55     100      unknown                       
Task 287   155      -          56     99       unknown                       
Task 224   268      -          171    97       unknown                       
Task 320   165      -          68     97       unknown                       
Task 274   166      -          71     95       unknown                       
Task 386   147      -          52     95       unknown                       
Task 203   158      -          64     94       unknown                       
Task 217   189      -          95     94       unknown                       
Task 357   180      -          86     94       unknown                       
Task 123   168      -          75     93       unknown                       
Task 247   188      -          95     93       unknown                       
Task 272   181      -          89     92       unknown                       
Task 397   213      -          121    92       unknown                       
Task 325   251      -          160    91       unknown                       
Task 236   144      -          54     90       unknown                       
Task 256   185      -          95     90       unknown                       
Task 252   146      -          57     89       unknown                       
Task 299   143      -          54     89       unknown                       
Task 263   208      -          122    86       unknown                       
Task 199   169      183        84     85       unknown                       
Task 146   141      -          58     83       unknown                       
Task 176   146      -          64     82       unknown                       
Task 193   163      -          81     82       unknown                       
Task 232   140      -          58     82       unknown                       
Task 300   168      -          87     81       unknown                       
Task 248   151      -          72     79       unknown                       
Task 316   150      -          71     79       unknown                       
Task 266   178      -          102    76       unknown                       
Task 327   142      -          67     75       unknown                       
Task 334   141      -          66     75       unknown                       
Task 347   125      -          50     75       unknown                       
Task 233   370      -          297    73       unknown                       
Task 282   156      -          83     73       unknown                       
Task 389   130      -          57     73       unknown                       
Task 345   162      -          90     72       unknown                       
Task 200   199      153        84     69       unknown                       
Task 275   204      -          136    68       unknown                       
Task 130   128      -          65     63       unknown                       
Task 312   107      -          44     63       unknown                       
Task 158   325      -          269    56       unknown                       
Task 162   152      -          96     56       unknown                       
Task 167   127      -          71     56       unknown                       
Task 291   115      -          61     54       unknown                       
Task 294   124      -          70     54       unknown                       
Task 371   162      -          109    53       unknown                       
Task 295   106      -          54     52       unknown                       
Task 353   144      -          92     52       unknown                       
Task 293   108      -          59     49       unknown                       
Task 298   104      -          55     49       unknown                       
Task 332   106      -          58     48       unknown                       
Task 186   107      -          60     47       unknown                       
Task 395   98       -          53     45       unknown                       
Task 215   86       -          42     44       unknown                       
Task 290   111      -          67     44       unknown                       
Task 171   93       97         51     42       unknown                       
Task 269   105      -          63     42       unknown                       
Task 391   104      -          63     41       unknown                       
Task 393   104      -          63     41       unknown                       
Task 261   84       -          47     37       unknown                       
Task 296   98       -          63     35       unknown                       
Task 288   123      -          89     34       unknown                       
Task 373   73       -          39     34       unknown                       
Task 181   99       112        67     32       unknown                       
Task 231   75       -          43     32       unknown                       
Task 258   91       -          61     30       unknown                       
Task 318   84       -          54     30       unknown                       
Task 289   92       -          63     29       unknown                       
Task 297   72       -          43     29       unknown                       
Task 223   79       -          51     28       unknown                       
Task 361   221      -          193    28       unknown                       
Task 151   134      228        108    26       unknown                       
Task 188   113      87         61     26       unknown                       
Task 267   72       -          46     26       unknown                       
Task 307   75       -          50     25       unknown                       
Task 229   97       -          73     24       unknown                       
Task 133   321      -          298    23       unknown                       
Task 194   120      89         67     22       unknown                       
Task 372   69       -          48     21       unknown                       
Task 144   73       -          53     20       unknown                       
Task 227   72       -          52     20       unknown                       
Task 235   79       -          61     18       unknown                       
Task 360   109      62         45     17       unknown                       
Task 292   72       -          56     16       unknown                       
Task 177   155      66         51     15       unknown                       
Task 211   63       -          48     15       unknown                       
Task 329   107      68         54     14       unknown                       
Task 315   76       -          63     13       unknown                       
Task 375   66       -          53     13       unknown                       
Task 180   91       -          79     12       unknown                       
Task 328   175      -          163    12       unknown                       
Task 392   161      -          149    12       unknown                       
Task 276   48       -          38     10       unknown                       
Task 366   374      -          365    9        unknown                       
Task 385   111      34         25     9        unknown                       
Task 262   46       -          39     7        unknown                       
Task 301   38       -          31     7        unknown                       
Task 309   45       -          38     7        unknown                       
Task 142   45       -          40     5        unknown                       
Task 152   45       54         40     5        unknown                       
Task 337   51       53         46     5        unknown                       
Task 173   222      -          218    4        unknown                       
Task 129   50       61         47     3        unknown                       
Task 376   33       45         30     3        unknown                       
Task 326   32       37         30     2        unknown                       
Task 339   39       -          37     2        unknown                       
Task 135   33       41         32     1        unknown                       
Task 157   247      -          246    1        unknown                       
Task 140   36       -          36     0        unknown                       
Task 150   30       38         30     0        unknown                       
Task 155   18       26         18     0        unknown                       
Task 164   32       40         32     0        unknown                       
Task 172   20       28         20     0        unknown                       
Task 179   21       21         21     0        unknown                       
Task 210   20       -          20     0        unknown                       
Task 241   21       -          21     0        unknown                       
Task 249   26       -          26     0        unknown                       
Task 311   32       37         32     0        unknown                       
Task 380   27       27         27     0        unknown                       
Task 121   242      127        89     38       unknown                       
