Task,Our Bytes,Lowest Reported Bytes,Difference,
130,124,65,59,58255
38,109,51,58,58313
158,325,269,56,58369
167,127,71,56,58425
353,144,92,52,58477
291,113,61,52,58529
295,106,54,52,58581
162,147,96,51,58632
294,121,70,51,58683
371,160,109,51,58734
115,105,54,51,58785
293,108,59,49,58834
298,104,55,49,58883
332,106,58,48,58931
186,107,60,47,58978
395,98,53,45,59023
215,86,42,44,59067
290,111,67,44,59111
269,105,63,42,59153
111,102,60,42,59195
391,104,63,41,59236
393,104,63,41,59277
171,91,51,40,59317
121,127,89,38,59355
261,84,47,37,59392
296,98,63,35,59427
373,73,39,34,59461
181,99,67,32,59493
231,75,43,32,59525
288,120,89,31,59556
73,77,46,31,59587
106,98,67,31,59618
318,84,54,30,59648
289,92,63,29,59677
297,72,43,29,59706
10,96,68,28,59734
223,79,51,28,59762
361,221,193,28,59790
258,88,61,27,59817
188,87,61,26,59843
267,72,46,26,59869
151,134,108,26,59895
307,75,50,25,59920
229,97,73,24,59944
133,321,298,23,59967
45,68,45,23,59990
194,89,67,22,60012
21,79,57,22,60034
372,69,48,21,60055
227,72,52,20,60075
144,73,53,20,60095
235,79,61,18,60113
41,67,49,18,60131
72,72,54,18,60149
360,62,45,17,60166
16,59,43,16,60182
114,79,64,15,60197
292,71,56,15,60212
177,66,51,15,60227
211,63,48,15,60242
329,68,54,14,60256
84,76,62,14,60270
315,76,63,13,60283
392,161,149,12,60295
180,91,79,12,60307
375,65,53,12,60319
328,175,163,12,60331
56,51,40,11,60342
39,70,60,10,60352
276,48,38,10,60362
78,70,60,10,60372
385,34,25,9,60381
366,374,365,9,60390
118,280,271,9,60399
103,38,29,9,60408
6,59,51,8,60416
3,66,58,8,60424
309,45,38,7,60431
60,55,48,7,60438
301,38,31,7,60445
262,46,39,7,60452
31,51,45,6,60458
26,57,52,5,60463
52,45,40,5,60468
337,51,46,5,60473
152,45,40,5,60478
142,45,40,5,60483
173,222,218,4,60487
1,61,58,3,60490
129,50,47,3,60493
376,33,30,3,60496
53,24,21,3,60499
113,28,25,3,60502
339,39,37,2,60504
326,32,30,2,60506
135,33,32,1,60507
32,39,39,0,60507
249,26,26,0,60507
241,21,21,0,60507
179,21,21,0,60507
210,20,20,0,60507
83,40,40,0,60507
67,33,33,0,60507
87,36,36,0,60507
140,36,36,0,60507
155,18,18,0,60507
380,27,27,0,60507
164,32,32,0,60507
172,20,20,0,60507
311,32,32,0,60507
150,30,30,0,60507
116,20,20,0,60507
157,247,248,-1,60506
