1,58
2,90
3,58
4,80
5,206
6,51
7,62
8,84
9,109
10,68
11,121
12,127
13,140
14,70
15,93
16,43
17,99
18,323
19,105
20,146
21,57
22,91
23,195
24,62
25,131
26,52
27,103
28,63
29,108
30,94
31,45
32,39
33,73
34,125
35,83
36,75
37,105
38,51
39,60
40,69
41,49
42,139
43,56
44,255
45,45
46,170
47,55
48,92
49,81
50,85
51,115
52,40
53,21
54,280
55,83
56,40
57,48
58,103
59,156
60,48
61,63
62,143
63,74
64,152
65,91
66,268
67,33
68,116
69,151
70,78
71,119
72,54
73,46
74,79
75,86
76,276
77,126
78,60
79,123
80,253
81,91
82,50
83,40
84,62
85,50
86,172
87,36
88,101
89,236
90,159
91,63
92,86
93,99
94,102
95,73
96,325
97,108
98,88
99,115
100,85
101,281
102,150
103,29
104,84
105,148
106,67
107,162
108,56
109,81
110,85
111,60
112,109
113,25
114,64
115,54
116,20
117,148
118,271
119,106
120,97
121,89
122,82
123,75
124,96
125,126
126,54
127,65
128,61
129,47
130,65
131,125
132,86
133,298
134,158
135,32
136,105
137,141
138,104
139,94
140,36
141,94
142,40
143,135
144,53
145,191
146,58
147,83
148,141
149,75
150,30
151,108
152,40
153,133
154,99
155,18
156,146
157,246
158,269
159,109
160,105
161,82
162,96
163,131
164,32
165,136
166,61
167,71
168,111
169,129
170,196
171,51
172,20
173,218
174,97
175,75
176,64
177,51
178,47
179,21
180,79
181,67
182,169
183,93
184,100
185,143
186,60
187,92
188,61
189,111
190,109
191,241
192,110
193,81
194,67
195,105
196,112
197,54
198,122
199,84
200,84
201,208
202,102
203,64
204,93
205,166
206,144
207,81
208,215
209,273
210,20
211,48
212,105
213,92
214,62
215,42
216,114
217,95
218,56
219,257
220,87
221,87
222,103
223,51
224,171
225,132
226,139
227,52
228,119
229,73
230,114
231,43
232,58
233,297
234,118
235,61
236,54
237,67
238,223
239,99
240,99
241,21
242,54
243,79
244,64
245,106
246,105
247,95
248,72
249,26
250,118
251,89
252,57
253,129
254,84
255,242
256,95
257,74
258,61
259,85
260,135
261,47
262,39
263,122
264,216
265,104
266,102
267,46
268,239
269,63
270,117
271,86
272,89
273,116
274,71
275,136
276,38
277,194
278,118
279,107
280,179
281,145
282,83
283,82
284,220
285,288
286,109
287,56
288,89
289,63
290,67
291,61
292,56
293,59
294,70
295,54
296,63
297,43
298,55
299,54
300,87
301,31
302,89
303,62
304,92
305,57
306,71
307,50
308,226
309,38
310,78
311,32
312,44
313,63
314,96
315,63
316,71
317,59
318,54
319,194
320,68
321,55
322,48
323,102
324,259
325,160
326,30
327,67
328,163
329,54
330,134
331,83
332,58
333,89
334,66
335,107
336,93
337,46
338,64
339,37
340,119
341,132
342,111
343,65
344,78
345,90
346,58
347,50
348,94
349,214
350,91
351,67
352,84
353,92
354,96
355,98
356,105
357,86
358,97
359,64
360,45
361,193
362,69
363,213
364,155
365,111
366,365
367,129
368,138
369,113
370,260
371,109
372,48
373,39
374,112
375,53
376,30
377,55
378,143
379,141
380,27
381,79
382,134
383,121
384,62
385,25
386,52
387,218
388,61
389,57
390,99
391,63
392,149
393,63
394,91
395,53
396,179
397,121
398,77
399,64
400,67
